ts_code,trade_date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
600519,2017-10-13,600519,312.18,323.33,323.78,309.19,27858,1534212912.0,4.69,3.87,12.06,0.22
600519,2017-10-16,600519,327.17,327.87,333.84,323.05,29909,1676810000.0,3.34,1.4,4.54,0.24
600519,2017-10-17,600519,328.15,323.91,328.15,321.18,20977,1168943280.0,2.13,-1.21,-3.96,0.17
600519,2017-10-18,600519,321.38,327.9,329.77,321.38,19179,1072237536.0,2.59,1.23,3.99,0.15
600519,2017-10-19,600519,328.18,349.78,352.33,327.9,40659,2338901856.0,7.45,6.67,21.88,0.32
600519,2017-10-20,600519,348.18,341.51,348.18,338.94,31534,1812957248.0,2.64,-2.36,-8.27,0.25
600519,2017-10-23,600519,342.1,340.59,347.68,335.18,23772,1362900416.0,3.66,-0.27,-0.92,0.19
600519,2017-10-24,600519,339.18,334.51,340.98,330.79,31274,1775645968.0,2.99,-1.79,-6.08,0.25
600519,2017-10-25,600519,336.93,332.85,338.86,329.24,25076,1418395216.0,2.88,-0.5,-1.66,0.2
600519,2017-10-26,600519,372.18,372.27,380.18,359.09,115435,6957625344.0,6.34,11.84,39.42,0.92
600519,2017-10-27,600519,369.29,416.81,422.18,367.21,84384,5284485888.0,14.77,11.96,44.54,0.67
600519,2017-10-30,600519,410.23,389.26,411.18,388.18,81008,5099041792.0,5.52,-6.61,-27.55,0.64
600519,2017-10-31,600519,389.19,385.21,394.78,379.06,51876,3206280608.0,4.04,-1.04,-4.05,0.41
600519,2017-11-01,600519,388.06,390.19,398.72,386.4,43435,2712016944.0,3.2,1.29,4.98,0.35
600519,2017-11-02,600519,394.13,394.1,396.96,388.18,34250,2144671936.0,2.25,1.0,3.91,0.27
600519,2017-11-03,600519,395.83,406.35,410.62,395.83,48189,3075651168.0,3.75,3.11,12.25,0.38
600519,2017-11-06,600519,408.68,420.24,424.8,407.38,48514,3153638704.0,4.29,3.42,13.89,0.39
600519,2017-11-07,600519,417.76,409.25,424.33,405.36,55565,3592238400.0,4.51,-2.62,-10.99,0.44
600519,2017-11-08,600519,409.51,417.56,421.68,409.51,43952,2855374064.0,2.97,2.03,8.31,0.35
600519,2017-11-09,600519,415.18,417.25,421.33,411.79,33641,2183815392.0,2.28,-0.07,-0.31,0.27
600519,2017-11-10,600519,417.61,445.13,450.58,417.61,74079,4967970816.0,7.9,6.68,27.88,0.59
600519,2017-11-13,600519,447.18,455.06,459.96,442.98,49870,3402794000.0,3.81,2.23,9.93,0.4
600519,2017-11-14,600519,454.32,445.93,454.4,444.53,46367,3159112672.0,2.17,-2.01,-9.13,0.37
600519,2017-11-15,600519,445.93,455.26,457.17,441.18,45036,3074244080.0,3.59,2.09,9.33,0.36
600519,2017-11-16,600519,453.19,486.29,487.14,453.19,60716,4299283200.0,7.46,6.82,31.03,0.48
600519,2017-11-17,600519,463.18,457.43,476.18,444.95,123861,8548748032.0,6.42,-5.93,-28.86,0.99
600519,2017-11-20,600519,443.98,446.33,452.78,427.18,88306,5954131968.0,5.6,-2.43,-11.1,0.7
600519,2017-11-21,600519,436.18,444.43,455.98,429.2,96017,6491134464.0,6.0,-0.43,-1.9,0.76
600519,2017-11-22,600519,444.18,417.7,455.18,417.18,128498,8528143360.0,8.55,-6.01,-26.73,1.02
600519,2017-11-23,600519,409.18,400.91,413.18,397.4,109599,6984097536.0,3.78,-4.02,-16.79,0.87
600519,2017-11-24,600519,403.08,397.22,409.68,389.41,76542,4835809024.0,5.06,-0.92,-3.69,0.61
600519,2017-11-27,600519,401.18,388.47,403.51,380.19,63548,3975262032.0,5.87,-2.2,-8.75,0.51
600519,2017-11-28,600519,392.24,415.41,416.06,391.18,70292,4491543552.0,6.4,6.93,26.94,0.56
600519,2017-11-29,600519,417.12,405.3,419.15,401.19,46764,3005733408.0,4.32,-2.43,-10.11,0.37
600519,2017-11-30,600519,402.69,398.18,415.66,393.18,38020,2419959856.0,5.55,-1.76,-7.12,0.3
600519,2017-12-01,600519,405.19,389.53,406.17,387.31,47193,2959772016.0,4.74,-2.17,-8.65,0.38
600519,2017-12-04,600519,391.13,404.97,411.28,383.9,54268,3436687376.0,7.03,3.96,15.44,0.43
600519,2017-12-05,600519,401.18,400.14,414.58,397.31,47466,3026076464.0,4.26,-1.19,-4.83,0.38
600519,2017-12-06,600519,398.68,392.19,411.28,387.18,58174,3657236576.0,6.02,-1.99,-7.95,0.46
600519,2017-12-07,600519,392.13,383.87,392.17,382.44,51033,3155212016.0,2.48,-2.12,-8.32,0.41
600519,2017-12-08,600519,382.6,394.46,396.03,382.6,45503,2842464432.0,3.5,2.76,10.59,0.36
